check_time
bootgrp
rack
x
y
z
a
b
c
valve
leakage
condensation
water_temp
pressure_0
pressure_1
in_air_temp
bp0_sb0_out_air_temp
bp0_sb0_cpu_0_temp
bp0_sb0_cpu_1_temp
bp0_sb0_cpu_2_temp
bp0_sb0_cpu_3_temp
bp0_sb0_ibc_0_vol
bp0_sb0_ibc_1_vol
bp0_sb0_ibc_2_vol
bp0_sb0_ibc_3_vol
bp0_sb0_pol_a0_vol
bp0_sb0_pol_a0_temp
bp0_sb0_pol_a1_vol
bp0_sb0_pol_a1_temp
bp0_sb0_pol_a2_vol
bp0_sb0_pol_a2_temp
bp0_sb0_pol_a3_vol
bp0_sb0_pol_a3_temp
bp0_sb0_pol_a4_vol
bp0_sb0_pol_a4_temp
bp0_sb0_pol_a5_vol
bp0_sb0_pol_a5_temp
bp0_sb0_pol_a6_vol
bp0_sb0_pol_a6_temp
bp0_sb0_pol_a7_vol
bp0_sb0_pol_a7_temp
bp0_sb0_pol_a8_vol
bp0_sb0_pol_a8_temp
bp0_sb0_pol_a9_vol
bp0_sb0_pol_a9_temp
bp0_sb0_pol_b0_vol
bp0_sb0_pol_b0_temp
bp0_sb0_pol_b2_vol
bp0_sb0_pol_b2_temp
bp0_sb0_pol_b3_vol
bp0_sb0_pol_b3_temp
bp0_sb0_pol_b5_vol
bp0_sb0_pol_b5_temp
bp0_sb0_pol_b6_vol
bp0_sb0_pol_b6_temp
bp0_sb0_pol_c1_vol
bp0_sb0_pol_c2_vol
bp0_sb0_pol_c4_vol
bp0_sb1_out_air_temp
bp0_sb1_cpu_0_temp
bp0_sb1_cpu_1_temp
bp0_sb1_cpu_2_temp
bp0_sb1_cpu_3_temp
bp0_sb1_ibc_0_vol
bp0_sb1_ibc_1_vol
bp0_sb1_ibc_2_vol
bp0_sb1_ibc_3_vol
bp0_sb1_pol_a0_vol
bp0_sb1_pol_a0_temp
bp0_sb1_pol_a1_vol
bp0_sb1_pol_a1_temp
bp0_sb1_pol_a2_vol
bp0_sb1_pol_a2_temp
bp0_sb1_pol_a3_vol
bp0_sb1_pol_a3_temp
